(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(43921, 1, 5);[30, 1, 50, 400, 50];531;נתנאל;11700;(1, 31, 7, 9, 11700);ולא;2;(1, 31, 7, 34, 43921);ואביכן התל בי והחלף את משכרתי עשרת מנים ולא נתנו אלהים להרע עמדי
(56666, 1, 5);[30, 1, 50, 400, 50];531;נתנאל;15066;(1, 38, 14, 21, 15066);לא;1;(1, 38, 14, 80, 56666);ותסר בגדי אלמנותה מעליה ותכס בצעיף ותתעלף ותשב בפתח עינים אשר על דרך תמנתה כי ראתה כי גדל שלה והוא לא נתנה לו לאשה
(4884, 21, 5);[30, 1, 50, 400, 50];531;נתנאל;1297;(1, 4, 15, 14, 1297);לבלתי;1;(1, 4, 15, 47, 4884);ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו
(42139, 38, 5);[30, 1, 50, 400, 50];531;נתנאל;11236;(1, 30, 15, 17, 11236);הלילה;2;(1, 30, 15, 58, 42139);ותאמר לה המעט קחתך את אישי ולקחת גם את דודאי בני ותאמר רחל לכן ישכב עמך הלילה תחת דודאי בנך
(46078, 38, 5);[30, 1, 50, 400, 50];531;נתנאל;12284;(1, 31, 47, 9, 12284);גלעד;2;(1, 31, 47, 31, 46078);ויקרא לו לבן יגר שהדותא ויעקב קרא לו גלעד
(68051, 44, 5);[30, 1, 50, 400, 50];531;נתנאל;18008;(1, 44, 20, 5, 18008);לנו;1;(1, 44, 20, 14, 68051);ונאמר אל אדני יש לנו אב זקן וילד זקנים קטן ואחיו מת ויותר הוא לבדו לאמו ואביו אהבו
(2899, 53, 5);[30, 1, 50, 400, 50];531;נתנאל;761;(1, 2, 25, 6, 761);ולא;2;(1, 2, 25, 27, 2899);ויהיו שניהם ערומים האדם ואשתו ולא יתבששו
(42452, 61, 5);[30, 1, 50, 400, 50];531;נתנאל;11317;(1, 30, 22, 4, 11317);רחל;3;(1, 30, 22, 15, 42452);ויזכר אלהים את רחל וישמע אליה אלהים ויפתח את רחמה
(54774, 81, 5);[30, 1, 50, 400, 50];531;נתנאל;14581;(1, 37, 13, 13, 14581);לו;1;(1, 37, 13, 52, 54774);ויאמר ישראל אל יוסף הלוא אחיך רעים בשכם לכה ואשלחך אליהם ויאמר לו הנני
(45385, 84, 5);[30, 1, 50, 400, 50];531;נתנאל;12102;(1, 31, 35, 10, 12102);אוכל;4;(1, 31, 35, 34, 45385);ותאמר אל אביה אל יחר בעיני אדני כי לוא אוכל לקום מפניך כי דרך נשים לי ויחפש ולא מצא את התרפים
